Jun 14 00:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 00:07:15,234 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 01:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 01:07:15,234 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 02:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 02:07:15,235 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 03:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 03:07:15,235 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 04:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 04:07:15,235 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 05:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 05:07:15,236 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 06:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 06:07:15,236 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 07:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 07:07:15,237 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 08:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 08:07:15,237 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 09:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 09:07:15,237 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 10:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 10:07:15,238 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 11:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 11:07:15,238 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 12:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 12:07:15,238 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 13:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 13:07:15,239 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 14:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 14:07:15,239 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 15:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 15:07:15,240 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 16:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 16:07:15,240 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 17:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 17:07:15,240 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 18:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 18:07:15,241 | INFO | algo_trader | Weekend — sleeping until Monday.
Jun 14 19:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 19:07:15,241 | INFO | algo_trader | Daily candle cache cleared.
Jun 14 19:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 19:07:15,241 | INFO | algo_trader | Available capital from broker: 100000.00
Jun 14 19:07:15 ip-172-31-33-249 python[74440]: 2026-06-14 19:07:15,241 | INFO | algo_trader | Waiting until 10:00 IST (33765 seconds)...
Jun 14 19:07:45 ip-172-31-33-249 python[74440]: 2026-06-14 19:07:45,242 | INFO | algo_trader | Waiting until 10:00 IST (33735 seconds)...
