2026-08-31T19:18:26.367928+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:18:26,367 | INFO | algo_trader | Daily candle cache cleared.
2026-08-31T19:18:26.372015+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:18:26,368 | INFO | algo_trader | Available capital from broker: 100000.00
2026-08-31T19:18:26.372015+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:18:26,368 | INFO | algo_trader | Waiting until 10:00 IST (33094 seconds)...
2026-08-31T19:18:56.368838+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:18:56,368 | INFO | algo_trader | Waiting until 10:00 IST (33064 seconds)...
2026-08-31T19:19:26.369225+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:19:26,369 | INFO | algo_trader | Waiting until 10:00 IST (33034 seconds)...
2026-08-31T19:19:56.369610+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:19:56,369 | INFO | algo_trader | Waiting until 10:00 IST (33004 seconds)...
2026-08-31T19:20:26.369981+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:20:26,369 | INFO | algo_trader | Waiting until 10:00 IST (32974 seconds)...
2026-08-31T19:20:56.370355+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:20:56,370 | INFO | algo_trader | Waiting until 10:00 IST (32944 seconds)...
2026-08-31T19:21:26.370756+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:21:26,370 | INFO | algo_trader | Waiting until 10:00 IST (32914 seconds)...
2026-08-31T19:21:56.371146+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:21:56,370 | INFO | algo_trader | Waiting until 10:00 IST (32884 seconds)...
2026-08-31T19:22:26.372032+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:22:26,371 | INFO | algo_trader | Waiting until 10:00 IST (32854 seconds)...
2026-08-31T19:22:56.372423+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:22:56,372 | INFO | algo_trader | Waiting until 10:00 IST (32824 seconds)...
2026-08-31T19:23:26.372834+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:23:26,372 | INFO | algo_trader | Waiting until 10:00 IST (32794 seconds)...
2026-08-31T19:23:56.373771+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:23:56,373 | INFO | algo_trader | Waiting until 10:00 IST (32764 seconds)...
2026-08-31T19:24:26.374174+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:24:26,374 | INFO | algo_trader | Waiting until 10:00 IST (32734 seconds)...
2026-08-31T19:24:56.374558+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:24:56,374 | INFO | algo_trader | Waiting until 10:00 IST (32704 seconds)...
2026-08-31T19:25:26.374951+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:25:26,374 | INFO | algo_trader | Waiting until 10:00 IST (32674 seconds)...
2026-08-31T19:25:56.375405+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:25:56,375 | INFO | algo_trader | Waiting until 10:00 IST (32644 seconds)...
2026-08-31T19:26:26.375781+00:00 ip-[REDACTED] python[356279]: 2026-08-31 19:26:26,375 | INFO | algo_trader | Waiting until 10:00 IST (32614 seconds)...
