sequence,event_type,symbol,recorded_decision,replayed_decision,matched,detail
280,market_gate,,skip,skip,True,four-factor market gate
281,market_gate,,trade,trade,True,four-factor market gate
282,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['WINDLAS-EQ', 'AYMSYNTEX-EQ', 'RISHABH-EQ', 'MOLBIO-EQ', 'ARIES-EQ']; replayed=['WINDLAS-EQ', 'AYMSYNTEX-EQ', 'RISHABH-EQ', 'MOLBIO-EQ', 'ARIES-EQ']"
283,tradability_filter,,candidates_available,candidates_available,True,captured filter outcome
284,broker_tradability_result,,candidates_available,candidates_available,True,captured filter outcome
285,candidate_validation,WINDLAS-EQ,rejected,rejected,True,Range position 0.709 < 0.85 (price retreating from high)
286,candidate_validation,AYMSYNTEX-EQ,rejected,rejected,True,Range position 0.804 < 0.85 (price retreating from high)
287,candidate_validation,RISHABH-EQ,rejected,rejected,True,Gain +4.96% outside 5.0-10.0% range
288,candidate_validation,MOLBIO-EQ,rejected,rejected,True,Gain +4.99% outside 5.0-10.0% range
289,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['COALINDIA-EQ', 'MAITHANALL-EQ', 'WINDLAS-EQ', 'AYMSYNTEX-EQ', 'RISHABH-EQ']; replayed=['COALINDIA-EQ', 'MAITHANALL-EQ', 'WINDLAS-EQ', 'AYMSYNTEX-EQ', 'RISHABH-EQ']"
290,tradability_filter,,candidates_available,candidates_available,True,captured filter outcome
291,broker_tradability_result,,candidates_available,candidates_available,True,captured filter outcome
292,candidate_validation,WINDLAS-EQ,rejected,rejected,True,Range position 0.666 < 0.85 (price retreating from high)
293,candidate_validation,AYMSYNTEX-EQ,rejected,rejected,True,Range position 0.786 < 0.85 (price retreating from high)
294,candidate_validation,RISHABH-EQ,rejected,rejected,True,Range position 0.808 < 0.85 (price retreating from high)
295,candidate_validation,COALINDIA-EQ,rejected,rejected,True,Volume fading: current 61750 vs avg 131143 (ratio 0.47 < 1.2)
296,candidate_validation,MAITHANALL-EQ,rejected,rejected,True,Volume fading: current 105 vs avg 2158 (ratio 0.05 < 1.2)
297,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['MAITHANALL-EQ', 'WINDLAS-EQ', 'AYMSYNTEX-EQ', 'RISHABH-EQ', 'EXPLEOSOL-EQ']; replayed=['MAITHANALL-EQ', 'WINDLAS-EQ', 'AYMSYNTEX-EQ', 'RISHABH-EQ', 'EXPLEOSOL-EQ']"
298,tradability_filter,,candidates_available,candidates_available,True,captured filter outcome
299,broker_tradability_result,,candidates_available,candidates_available,True,captured filter outcome
300,candidate_validation,WINDLAS-EQ,rejected,rejected,True,Range position 0.693 < 0.85 (price retreating from high)
301,candidate_validation,AYMSYNTEX-EQ,rejected,rejected,True,Range position 0.750 < 0.85 (price retreating from high)
302,candidate_validation,RISHABH-EQ,rejected,rejected,True,Range position 0.809 < 0.85 (price retreating from high)
303,candidate_validation,EXPLEOSOL-EQ,rejected,rejected,True,Range position 0.532 < 0.85 (price retreating from high)
304,candidate_validation,MAITHANALL-EQ,rejected,rejected,True,Volume fading: current 57 vs avg 2429 (ratio 0.02 < 1.2)
305,scan_completed,,candidates_ranked,candidates_ranked,True,"recorded=['MAITHANALL-EQ', 'WINDLAS-EQ', 'RISHABH-EQ', 'AYMSYNTEX-EQ', 'ARIES-EQ']; replayed=['MAITHANALL-EQ', 'WINDLAS-EQ', 'RISHABH-EQ', 'AYMSYNTEX-EQ', 'ARIES-EQ']"
