2026-09-06T19:26:38.524943+00:00 ip-[REDACTED] systemd[1]: Stopping algo-trader.service - Algo Trader Bot...
2026-09-06T19:26:38.546079+00:00 ip-[REDACTED] systemd[1]: algo-trader.service: Deactivated successfully.
2026-09-06T19:26:38.546443+00:00 ip-[REDACTED] systemd[1]: Stopped algo-trader.service - Algo Trader Bot.
2026-09-06T19:26:38.546942+00:00 ip-[REDACTED] systemd[1]: algo-trader.service: Consumed 25.896s CPU time over 5d 2h 19min 40.546s wall clock time, 247.4M memory peak.
2026-09-06T19:30:15.944109+00:00 ip-[REDACTED] systemd[1]: Started algo-trader.service - Algo Trader Bot.
2026-09-06T19:30:16.166325+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:16,166 | INFO | algo_trader | Decision snapshots enabled: run_id=1a8d91702ad24c508121d8308d6ca347
2026-09-06T19:30:16.170326+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:16,166 | INFO | algo_trader | Logging in to Angel One...
2026-09-06T19:30:16.702316+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:16,702 | INFO | algo_trader | Angel One login successful.
2026-09-06T19:30:16.702567+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:16,702 | INFO | algo_trader | [PAPER] Paper trading mode active. Capital: 100000.00, slippage=5.0 bps/side, fees=10.0 bps/side
2026-09-06T19:30:16.702567+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:16,702 | INFO | algo_trader | Broker mode: PAPER TRADING (simulated orders) + Angel One (market data)
2026-09-06T19:30:16.702567+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:16,702 | INFO | algo_trader | Loading ASM/GSM/F&O restricted lists from NSE...
2026-09-06T19:30:16.836010+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:16,835 | INFO | algo_trader | Loaded 233 ASM stocks from NSE.
2026-09-06T19:30:16.937594+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:16,937 | INFO | algo_trader | Loaded 82 GSM stocks from NSE.
2026-09-06T19:30:17.007181+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:17,007 | WARNING | algo_trader | Failed to fetch F&O list: HTTP 404
2026-09-06T19:30:17.010261+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:17,010 | INFO | algo_trader | Loading NSE equity scrip master...
2026-09-06T19:30:18.126132+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:18,125 | INFO | algo_trader | Scrip master cached to disk (151319 entries).
2026-09-06T19:30:18.150478+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:18,150 | INFO | algo_trader | Loaded 2677 NSE equity stocks.
2026-09-06T19:30:18.225667+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:18,225 | INFO | algo_trader | Daily candle cache cleared.
2026-09-06T19:30:18.226399+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:18,225 | INFO | algo_trader | Available capital from broker: 100000.00
2026-09-06T19:30:18.226399+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:18,225 | INFO | algo_trader | Waiting until 10:00 IST (32382 seconds)...
2026-09-06T19:30:48.226316+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:30:48,226 | INFO | algo_trader | Waiting until 10:00 IST (32352 seconds)...
2026-09-06T19:31:18.226719+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:31:18,226 | INFO | algo_trader | Waiting until 10:00 IST (32322 seconds)...
2026-09-06T19:31:48.227129+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:31:48,226 | INFO | algo_trader | Waiting until 10:00 IST (32292 seconds)...
2026-09-06T19:32:18.227500+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:32:18,227 | INFO | algo_trader | Waiting until 10:00 IST (32262 seconds)...
2026-09-06T19:32:48.228019+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:32:48,227 | INFO | algo_trader | Waiting until 10:00 IST (32232 seconds)...
2026-09-06T19:33:18.228270+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:33:18,228 | INFO | algo_trader | Waiting until 10:00 IST (32202 seconds)...
2026-09-06T19:33:48.228686+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:33:48,228 | INFO | algo_trader | Waiting until 10:00 IST (32172 seconds)...
2026-09-06T19:34:18.229069+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:34:18,228 | INFO | algo_trader | Waiting until 10:00 IST (32142 seconds)...
2026-09-06T19:34:48.229448+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:34:48,229 | INFO | algo_trader | Waiting until 10:00 IST (32112 seconds)...
2026-09-06T19:35:18.229815+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:35:18,229 | INFO | algo_trader | Waiting until 10:00 IST (32082 seconds)...
2026-09-06T19:35:48.230246+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:35:48,230 | INFO | algo_trader | Waiting until 10:00 IST (32052 seconds)...
2026-09-06T19:36:18.230542+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:36:18,230 | INFO | algo_trader | Waiting until 10:00 IST (32022 seconds)...
2026-09-06T19:36:48.230948+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:36:48,230 | INFO | algo_trader | Waiting until 10:00 IST (31992 seconds)...
2026-09-06T19:37:18.231318+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:37:18,231 | INFO | algo_trader | Waiting until 10:00 IST (31962 seconds)...
2026-09-06T19:37:48.231715+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:37:48,231 | INFO | algo_trader | Waiting until 10:00 IST (31932 seconds)...
2026-09-06T19:38:18.232216+00:00 ip-[REDACTED] python[387176]: 2026-09-06 19:38:18,231 | INFO | algo_trader | Waiting until 10:00 IST (31902 seconds)...
